name,mass,quantity,price,proteins,fats,carbohydrates,calories,link
Сырники творожные с яблочной начинкой,130.0,10,156,11.4,5.9,18.9,174.3,https://rtw.vkusvill.ru/goods/syrniki-tvorozhnye-s-yablochnoy-nachinkoy-64757.html
"Суп куриный с домашней лапшой, 390 г_РП",390.0,0,167,3.3,2.8,5.3,59.6,https://rtw.vkusvill.ru/goods/sup-kurinyy-s-domashney-lapshoy-390-g-rp-80354.html
Паста с соусом песто и вялеными томатами Халяль_РП,200.0,0,180,,,,,https://rtw.vkusvill.ru/goods/pasta-s-sousom-pesto-i-vyalenymi-tomatami-khalyal-rp-83083.html
Роллы «Филадельфия с угрем»,250.0,2,540,,,,,https://rtw.vkusvill.ru/goods/rolly-filadelfiya-s-ugrem-38465.html
"Салат «Сельдь под шубой», 1 кг",1000.0,0,948,11.3,12.5,3.4,171.3,https://rtw.vkusvill.ru/goods/salat-seld-pod-shuboy-1-kg-84803.html
Хот-Дог Суздальский,240.0,0,340,10.4,11,13.3,191,https://rtw.vkusvill.ru/goods/khot-dog-suzdalskiy-70436.html
"Кекс веган банановый, кафе рег",80.0,0,140,4.9,13.8,42.5,313.8,https://rtw.vkusvill.ru/goods/keks-vegan-bananovyy-kafe-reg-60821.html
"Азу из говядины с гречкой, 500 г",500.0,4,390,5.7,6.3,12.9,131.1,https://rtw.vkusvill.ru/goods/azu-iz-govyadiny-s-grechkoy-500-g-63719.html
Каша 7 злаков,250.0,0,128,4.9,5.9,19.9,152.3,https://rtw.vkusvill.ru/goods/kasha-7-zlakov-76802.html
Набор: Суп грибной + Котлета «Домашняя» (1 шт.) с картофельным пюре,570.0,0,385,,,,,https://rtw.vkusvill.ru/goods/nabor-sup-gribnoy-kotleta-domashnyaya-1-sht-s-kartofelnym-pyure-58636.html
Пирог «Кальцоне» курица - грибы,130.0,2,165,9.7,24,25.3,356,https://rtw.vkusvill.ru/goods/pirog-kaltsone-kuritsa-griby-79985.html
"Салат «Витаминный» с лимонной заправкой, 500 г",500.0,2,340,0.9,7.2,9.5,106.4,https://rtw.vkusvill.ru/goods/salat-vitaminnyy-s-limonnoy-zapravkoy-500-g-65409.html
Суп «Рассольник» с курицей,390.0,8,186,,,,,https://rtw.vkusvill.ru/goods/sup-rassolnik-s-kuritsey-30290.html
"Блины с вишней, 210 грамм",210.0,0,196,5.5,7.7,33.4,224.9,https://rtw.vkusvill.ru/goods/bliny-s-vishney-210-gramm-65045.html
Плов «Постный»,250.0,0,208,2.4,12.3,23.3,213.5,https://rtw.vkusvill.ru/goods/plov-postnyy-43695.html
"Салат «Оливье» с уткой, каперсами и перепелиными яйцами",200.0,4,298,8,9.1,6.9,141.5,https://rtw.vkusvill.ru/goods/salat-olive-s-utkoy-kapersami-i-perepelinymi-yaytsami-81473.html
Онигири с угрем в соусе унаги,100.0,8,188,7.3,3.6,31.2,186.4,https://rtw.vkusvill.ru/goods/onigiri-s-ugrem-v-souse-unagi-58053.html
Салат с курицей и апельсиновой заправкой,198.0,2,256,6.9,11.5,6.3,156.3,https://rtw.vkusvill.ru/goods/salat-s-kuritsey-i-apelsinovoy-zapravkoy-68047.html
"Каша пшенная сливочная, 250 г",250.0,7,178,3.2,5.9,17.8,137.1,https://rtw.vkusvill.ru/goods/kasha-pshennaya-slivochnaya-250-g-68616.html
Каша гречневая со свининой_РП,250.0,0,135,6,28,15,336,https://rtw.vkusvill.ru/goods/kasha-grechnevaya-so-svininoy-rp-72614.html
"Запеканка творожная с тыквой, цедрой апельсина и корицей",220.0,3,178,9.7,9.6,11.7,172,https://rtw.vkusvill.ru/goods/zapekanka-tvorozhnaya-s-tykvoy-tsedroy-apelsina-i-koritsey-48802.html
Бургер с говядиной BBQ и апельсиновый фреш 500 мл,823.0,0,600,,,,,https://rtw.vkusvill.ru/goods/burger-s-govyadinoy-bbq-i-apelsinovyy-fresh-500-ml-70964.html
Хумус с кедровыми орешками,200.0,24,206,5.3,11.2,14.0,178.0,https://rtw.vkusvill.ru/goods/khumus-s-kedrovymi-oreshkami-20811.html
Штрудель с вишней и черной смородиной,110.0,0,205,5.4,11.4,38.6,364,https://rtw.vkusvill.ru/goods/shtrudel-s-vishney-i-chernoy-smorodinoy-64195.html
Салат «Мимоза» с сайрой_РП,150.0,0,120,7.6,15.9,8.6,207.9,https://rtw.vkusvill.ru/goods/salat-mimoza-s-sayroy-rp-77188.html
Баклажаны по-сычуаньски,150.0,14,198,1.9,17.8,20.6,250.2,https://rtw.vkusvill.ru/goods/baklazhany-po-sychuanski-78244.html
