name,mass,quantity,price,proteins,fats,carbohydrates,calories,link
Картофельное пюре с печеночными оладьями,280.0,0,274,6.9,6.8,15,151,https://rtw.vkusvill.ru/goods/kartofelnoe-pyure-s-pechenochnymi-oladyami-76649.html
Салат из моркови с сыром,140.0,10,130,5.1,16.6,6.3,195,https://rtw.vkusvill.ru/goods/salat-iz-morkovi-s-syrom-61594.html
"Салат с курицей и ананасами, 180 г",180.0,14,196,9.8,19.7,3.4,230.1,https://rtw.vkusvill.ru/goods/salat-s-kuritsey-i-ananasami-180-g-68083.html
"Набор роллов «Сэтто» с форелью, с креветкой, с огурцом и роллами «Филадельфия»",860.0,0,1 520,,,,,https://rtw.vkusvill.ru/goods/nabor-rollov-setto-s-forelyu-s-krevetkoy-s-ogurtsom-i-rollami-filadelfiya-77845.html
Биточки морковные,190.0,2,155,2.8,7,22.5,164.2,https://rtw.vkusvill.ru/goods/bitochki-morkovnye-43468.html
"Суп «Рассольник» с курицей, 390 грамм",390.0,0,176,2.8,0.5,3.9,31.3,https://rtw.vkusvill.ru/goods/sup-rassolnik-s-kuritsey-390-gramm-61047.html
"Каша рисовая на кокос молоке с с/фрукт, кафе",200.0,0,180,1.71,6.73,19.29,144.62,https://rtw.vkusvill.ru/goods/kasha-risovaya-na-kokos-moloke-s-s-frukt-kafe-33785.html
"Морковь по-корейски, 500 г",500.0,12,145,1.1,6.1,10.4,100.9,https://rtw.vkusvill.ru/goods/morkov-po-koreyski-500-g-72149.html
Котлета «Домашняя» (2 шт.) с картофельным пюре,310.0,0,334,8.2,9.4,17.7,185,https://rtw.vkusvill.ru/goods/kotleta-domashnyaya-2-sht-s-kartofelnym-pyure-44776.html
Запеканка творожная с чёрной смородиной,250.0,4,237,10.4,3,22,156.6,https://rtw.vkusvill.ru/goods/zapekanka-tvorozhnaya-s-chyernoy-smorodinoy-39479.html
"Пирог с семгой, брокколи и брынзой",170.0,4,258,10.3,4.6,17.2,151.4,https://rtw.vkusvill.ru/goods/pirog-s-semgoy-brokkoli-i-brynzoy-61281.html
Сэндвич ролл «Цезарь»,160.0,56,210,9.6,11.8,23.8,239.8,https://rtw.vkusvill.ru/goods/sendvich-roll-tsezar-20542.html
Биточек сочный с пенне,200.0,2,198,10.2,6.7,23.3,194.3,https://rtw.vkusvill.ru/goods/bitochek-sochnyy-s-penne-61689.html
"Киш с курицей и грибами, кафе",160.0,8,185,12.5,16.9,17.8,273.3,https://rtw.vkusvill.ru/goods/kish-s-kuritsey-i-gribami-kafe-27158.html
"Чиабатта с курицей, пармезаном и соусом цезарь, кафе рег",180.0,0,220,8.8,15.7,26,280.5,https://rtw.vkusvill.ru/goods/chiabatta-s-kuritsey-parmezanom-i-sousom-tsezar-kafe-reg-51466.html
Сэндвич ролл с лососем и шпинатом,160.0,10,242,,,,,https://rtw.vkusvill.ru/goods/sendvich-roll-s-lososem-i-shpinatom-37319.html
Ленивые голубцы в сметанном соусе,272.0,0,282,8.9,10.7,5.7,159,https://rtw.vkusvill.ru/goods/lenivye-golubtsy-v-smetannom-souse-81154.html
"Салат «Оливье», 1 кг",1000.0,0,1 148,7.3,12.7,11.7,190.3,https://rtw.vkusvill.ru/goods/salat-olive-1-kg-84807.html
"Пирожок с куриной начинкой, кафе",50.0,0,70,,,,,https://rtw.vkusvill.ru/goods/pirozhok-s-kurinoy-nachinkoy-kafe-36940.html
"Шаурма с курицей, 230 г",230.0,12,208,7.8,12.9,20.9,230.9,https://rtw.vkusvill.ru/goods/shaurma-s-kuritsey-230-g-70874.html
Мясо «под шубой» с картофелем,240.0,4,312,11.5,19.7,14.6,281.7,https://rtw.vkusvill.ru/goods/myaso-pod-shuboy-s-kartofelem-59237.html
"Запеканка творожная «Нежная», кафе",180.0,4,160,12.6,5.6,16.1,165.73,https://rtw.vkusvill.ru/goods/zapekanka-tvorozhnaya-nezhnaya-kafe-44548.html
Хумус «Ливанский» острый,200.0,0,158,8.1,18.1,15.1,255.7,https://rtw.vkusvill.ru/goods/khumus-livanskiy-ostryy-76893.html
Креветки в зеленом соусе с лимонным соком,135.0,4,502,14.5,15.2,2.9,206.4,https://rtw.vkusvill.ru/goods/krevetki-v-zelenom-souse-s-limonnym-sokom-76932.html
Шницель из свинины в сырной панировке с картофельным пюре,220.0,4,260,10.6,9.4,13.6,181.4,https://rtw.vkusvill.ru/goods/shnitsel-iz-svininy-v-syrnoy-panirovke-s-kartofelnym-pyure-74022.html
"Салат с индейкой, копченым куриным филе и ананасами, 600 г",600.0,0,620,9.8,13.5,11,204.7,https://rtw.vkusvill.ru/goods/salat-s-indeykoy-kopchenym-kurinym-file-i-ananasami-600-g-71373.html
Винегрет овощной Халяль_РП,180.0,0,150,,,,,https://rtw.vkusvill.ru/goods/vinegret-ovoshchnoy-khalyal-rp-83085.html
Салат «Цезарь»,180.0,12,284,,,,,https://rtw.vkusvill.ru/goods/salat-tsezar-19363.html
"Пицца «Курица, Грибы, Терияки», охлажденная",400.0,7,410,11.3,8,23.4,210.8,https://rtw.vkusvill.ru/goods/pitstsa-kuritsa-griby-teriyaki-okhlazhdennaya-78866.html
Салат охлажденный «Кабачки с морковью по-корейски»,200.0,2,116,0.9,10.2,9,131.4,https://rtw.vkusvill.ru/goods/salat-okhlazhdennyy-kabachki-s-morkovyu-po-koreyski-70371.html
Курица в сливочном соусе с гречкой,235.0,8,246,11,7,11.4,152.6,https://rtw.vkusvill.ru/goods/kuritsa-v-slivochnom-souse-s-grechkoy-53516.html
Каша овсяная молочная_РП,250.0,0,146,4,3,17,111,https://rtw.vkusvill.ru/goods/kasha-ovsyanaya-molochnaya-rp-75583.html
"Мойва жареная, вес",,0,845,11.7,19.6,6.1,247,https://rtw.vkusvill.ru/goods/moyva-zharenaya-ves-54398.html
Заливное из говяжьего языка,300.0,16,297,5.4,9.2,0.9,108,https://rtw.vkusvill.ru/goods/zalivnoe-iz-govyazhego-yazyka-18164.html
Набор онигири «С тунцом + Филадельфия» с соевым соусом,250.0,0,378,,,,,https://rtw.vkusvill.ru/goods/nabor-onigiri-s-tuntsom-filadelfiya-s-soevym-sousom-81298.html
"Салат «Гранатовый» с куриным филе, 600 г",600.0,0,550,11.2,14.9,13.5,232.9,https://rtw.vkusvill.ru/goods/salat-granatovyy-s-kurinym-file-600-g-71374.html
"Суп Куриный, 300 г",300.0,0,178,3.9,2.2,3.3,48.6,https://rtw.vkusvill.ru/goods/sup-kurinyy-300-g-46332.html
Азу из индейки с рисом_РП,230.0,0,260,8.4,3.7,20.4,148.5,https://rtw.vkusvill.ru/goods/azu-iz-indeyki-s-risom-rp-76811.html
"Сэндвич-ролл «Фалафель» с хумусом и овощами, кафе",180.0,12,200,8.9,16.5,42,352.3,https://rtw.vkusvill.ru/goods/sendvich-roll-falafel-s-khumusom-i-ovoshchami-kafe-57853.html
Стейк из куриного филе на гриле с брокколи на пару,250.0,8,248,,,,,https://rtw.vkusvill.ru/goods/steyk-iz-kurinogo-file-na-grile-s-brokkoli-na-paru-43693.html
Паста «Карбонара»,240.0,0,278,,,,,https://rtw.vkusvill.ru/goods/pasta-karbonara-25690.html
Котлета Домашняя с макаронами,220.0,6,208,11.2,7.4,15.7,174.2,https://rtw.vkusvill.ru/goods/kotleta-domashnyaya-s-makaronami-67621.html
Сэндвич ролл с кетой и яйцом,160.0,0,208,9.1,14.1,28,275.3,https://rtw.vkusvill.ru/goods/sendvich-roll-s-ketoy-i-yaytsom-33697.html
Яйца перепелиные копченые «Молодецкие»,200.0,12,298,12,13,0.2,165.8,https://rtw.vkusvill.ru/goods/yaytsa-perepelinye-kopchenye-molodetskie-36059.html
"Азу из говядины с маринованными огурцами, 500 г",500.0,0,830,10.3,10.9,5.6,161.7,https://rtw.vkusvill.ru/goods/azu-iz-govyadiny-s-marinovannymi-ogurtsami-500-g-80725.html
Паприкаш куриный с картофельным пюре,332.0,0,304,7.1,6.1,13.7,138,https://rtw.vkusvill.ru/goods/paprikash-kurinyy-s-kartofelnym-pyure-81065.html
"Сырники из творога, кафе",120.0,0,135,14.8,10.5,20.4,235.3,https://rtw.vkusvill.ru/goods/syrniki-iz-tvoroga-kafe-27161.html
Суп с фрикадельками из индейки,300.0,26,168,,,,,https://rtw.vkusvill.ru/goods/sup-s-frikadelkami-iz-indeyki-16416.html
Суп-крем куриный,270.0,16,188,4.3,4.7,9.9,99.1,https://rtw.vkusvill.ru/goods/sup-krem-kurinyy-25262.html
Бефстроганов из говядины с гречкой отварной,200.0,2,282,10.1,9.3,17.2,192.9,https://rtw.vkusvill.ru/goods/befstroganov-iz-govyadiny-s-grechkoy-otvarnoy-52702.html
Блинчики с печенью и яйцом,150.0,0,195,8.2,9.4,21.2,202.2,https://rtw.vkusvill.ru/goods/blinchiki-s-pechenyu-i-yaytsom-69140.html
Закуска из баклажанов,80.0,6,178,4.8,24.3,7.7,268.7,https://rtw.vkusvill.ru/goods/zakuska-iz-baklazhanov-38635.html
"Салат «Гнездо глухаря» с копченой курицей, 500 г",500.0,6,680,12.4,21.8,4.4,263.4,https://rtw.vkusvill.ru/goods/salat-gnezdo-glukharya-s-kopchenoy-kuritsey-500-g-84853.html
"Запеканка из творожного сыра рикотта с апельсином, 100 г",100.0,7,116,9.5,11.8,22,232.2,https://rtw.vkusvill.ru/goods/zapekanka-iz-tvorozhnogo-syra-rikotta-s-apelsinom-100-g-73410.html
"Расстегаи с лососем и палтусом, 120 г (2 шт)",120.0,4,175,11.7,11.8,24,249,https://rtw.vkusvill.ru/goods/rasstegai-s-lososem-i-paltusom-120-g-2-sht-46828.html
Котлеты Домашние с картофельным пюре,220.0,6,270,,,,,https://rtw.vkusvill.ru/goods/kotlety-domashnie-s-kartofelnym-pyure-58171.html
Котлета из щуки (1 шт.) с картофельным пюре,270.0,0,258,6.01,6.28,14.9,134,https://rtw.vkusvill.ru/goods/kotleta-iz-shchuki-1-sht-s-kartofelnym-pyure-56403.html
Хумус с минихлебцами,130.0,9,110,,,,,https://rtw.vkusvill.ru/goods/khumus-s-minikhlebtsami-23761.html
Салат «Снегурочка» с мандаринами,245.0,0,350,5.7,5,9.17,107,https://rtw.vkusvill.ru/goods/salat-snegurochka-s-mandarinami-71673.html
Бургеры с куриной котлетой и сыром Чеддер,145.0,8,208,17.4,15.7,21.5,296.9,https://rtw.vkusvill.ru/goods/burgery-s-kurinoy-kotletoy-i-syrom-chedder-78473.html
Омлет на козьем молоке,180.0,0,168,5.6,8.5,3.3,112.1,https://rtw.vkusvill.ru/goods/omlet-na-kozem-moloke-83220.html
"Говядина томленая, 350 г",350.0,6,498,16,8.4,0.5,141.6,https://rtw.vkusvill.ru/goods/govyadina-tomlenaya-350-g-70724.html
Закуска фава «Классическая»,200.0,10,101,7,8.5,16,168.5,https://rtw.vkusvill.ru/goods/zakuska-fava-klassicheskaya-29009.html
Суп «Рассольник» вегетарианский с грибами и сельдереем,270.0,6,166,1,0.5,6.8,35.7,https://rtw.vkusvill.ru/goods/sup-rassolnik-vegetarianskiy-s-gribami-i-seldereem-74326.html
Борщ с говядиной 300 г_РП,300.0,0,200,3,2,4,46.7,https://rtw.vkusvill.ru/goods/borshch-s-govyadinoy-300-g-rp-79362.html
Сэндвич-ролл с курицей «Сациви»,180.0,2,220,8.1,12.9,20.5,230.5,https://rtw.vkusvill.ru/goods/sendvich-roll-s-kuritsey-satsivi-38113.html
"Борщ «Вегетарианский», 1 кг",1000.0,15,390,1,2.6,5.9,51,https://rtw.vkusvill.ru/goods/borshch-vegetarianskiy-1-kg-44627.html
Запеканка рыбная с печеным картофелем,220.0,0,292,10.7,15.9,12.9,237.5,https://rtw.vkusvill.ru/goods/zapekanka-rybnaya-s-pechenym-kartofelem-67264.html
Суп-пюре с курицей и овощами пастеризованный_РП,250.0,0,189,4.8,2.3,6.9,67.5,https://rtw.vkusvill.ru/goods/sup-pyure-s-kuritsey-i-ovoshchami-pasterizovannyy-rp-80600.html
Розанчики творожно-сливочные с топпингом «Манго и Маракуйя»,150.0,5,228,6.7,21.5,20.8,303.5,https://rtw.vkusvill.ru/goods/rozanchiki-tvorozhno-slivochnye-s-toppingom-mango-i-marakuyya-47139.html
Сэндвич ролл «Буррито» с растительным мясом,160.0,2,228,7.3,7,22.4,181.8,https://rtw.vkusvill.ru/goods/sendvich-roll-burrito-s-rastitelnym-myasom-55350.html
"Рагу овощное с кабачками, 450 г",450.0,2,398,1.6,4.5,12,94.9,https://rtw.vkusvill.ru/goods/ragu-ovoshchnoe-s-kabachkami-450-g-79480.html
Салат «Греческий»,190.0,2,292,3.5,15.9,4,183.7,https://rtw.vkusvill.ru/goods/salat-grecheskiy-24991.html
"Пирожок с яблочной начинкой, кафе",50.0,0,55,5.7,9.6,38.8,264.4,https://rtw.vkusvill.ru/goods/pirozhok-s-yablochnoy-nachinkoy-kafe-36939.html
Сэндвич «Клаб»,90.0,6,155,11.8,14.5,19.3,254.9,https://rtw.vkusvill.ru/goods/sendvich-klab-50364.html
Паста «Орзо» с запеченной курицей,240.0,4,198,9.9,7.1,19.3,180.7,https://rtw.vkusvill.ru/goods/pasta-orzo-s-zapechennoy-kuritsey-68436.html
Бефстроганов из индейки с картофелем_РП,250.0,0,255,5.6,6,13.5,130.4,https://rtw.vkusvill.ru/goods/befstroganov-iz-indeyki-s-kartofelem-rp-70261.html
Котлета куриная со шпинатом и картофельным пюре_РП,250.0,0,175,5.1,3.3,13.2,102.9,https://rtw.vkusvill.ru/goods/kotleta-kurinaya-so-shpinatom-i-kartofelnym-pyure-rp-83223.html
Набор: Крем-суп грибной + Гречка с говядиной в сливочном соусе,,0,505,,,,,https://rtw.vkusvill.ru/goods/nabor-krem-sup-gribnoy-grechka-s-govyadinoy-v-slivochnom-souse-58642.html
Салат «Новогодний» с бужениной,215.0,0,300,4.2,5.05,6.3,94,https://rtw.vkusvill.ru/goods/salat-novogodniy-s-buzheninoy-85297.html
Салат «Оливье вегетарианский»,200.0,4,208,1.7,8.7,8.1,117.5,https://rtw.vkusvill.ru/goods/salat-olive-vegetarianskiy-45767.html
"Сырники творожные, 260 г",260.0,0,188,14.7,4,22.2,183,https://rtw.vkusvill.ru/goods/syrniki-tvorozhnye-260-g-64201.html
Ролл с креветкой и огурцом,200.0,6,290,6.6,0.8,26.5,139.6,https://rtw.vkusvill.ru/goods/roll-s-krevetkoy-i-ogurtsom-69875.html
Гречневая лапша с индейкой,200.0,8,292,7.8,4.2,10.6,111.4,https://rtw.vkusvill.ru/goods/grechnevaya-lapsha-s-indeykoy-41137.html
"Салат «Нисуаз», 200 г",200.0,2,328,8.2,11.5,5.1,156.7,https://rtw.vkusvill.ru/goods/salat-nisuaz-200-g-81428.html
Салат с индейкой и соусом «Наршараб»_РП,165.0,0,270,8.3,6.4,18.7,165.6,https://rtw.vkusvill.ru/goods/salat-s-indeykoy-i-sousom-narsharab-rp-72544.html
Вок с креветкой в соево-чесночном соусе,270.0,16,348,5.8,2.5,21,130,https://rtw.vkusvill.ru/goods/vok-s-krevetkoy-v-soevo-chesnochnom-souse-37779.html
"Куриное филе запеченное с овощами, 210 грамм",210.0,0,296,10.3,3.8,3.6,89.8,https://rtw.vkusvill.ru/goods/kurinoe-file-zapechennoe-s-ovoshchami-210-gramm-62454.html
Плов с курицей_РП,250.0,0,188,14,18,53,430,https://rtw.vkusvill.ru/goods/plov-s-kuritsey-rp-75581.html
Розанчики творожно-сливочные с начинкой «Вишня»,150.0,0,218,6.7,21.5,20.8,303.5,https://rtw.vkusvill.ru/goods/rozanchiki-tvorozhno-slivochnye-s-nachinkoy-vishnya-75498.html
Форель радужная филе на коже на гриле 160г,160.0,1,490,21,18,1,250,https://rtw.vkusvill.ru/goods/forel-raduzhnaya-file-na-kozhe-na-grile-160g-75770.html
Салат «Цезарь» с курицей и кешью_РП,200.0,0,295,10.2,20.9,2.7,240,https://rtw.vkusvill.ru/goods/salat-tsezar-s-kuritsey-i-keshyu-rp-74448.html
"Филе куриной грудки с перцем и чесноком, нарезка",150.0,3,228,23.4,3.2,0,122.4,https://rtw.vkusvill.ru/goods/file-kurinoy-grudki-s-pertsem-i-chesnokom-narezka-24435.html
Большая порция сырников творожных со сметаной и малиновым вареньем,410.0,0,381,13.64,9.49,22.5,225,https://rtw.vkusvill.ru/goods/bolshaya-portsiya-syrnikov-tvorozhnykh-so-smetanoy-i-malinovym-varenem-64454.html
Картофельные дольки по-техасски с беконом,245.0,0,250,4.19,8.22,16.94,156,https://rtw.vkusvill.ru/goods/kartofelnye-dolki-po-tekhasski-s-bekonom-70751.html
"Салат «Сельдь под шубой», 180 грамм",180.0,0,168,6.4,16.1,7.8,201.7,https://rtw.vkusvill.ru/goods/salat-seld-pod-shuboy-180-gramm-68094.html
Запеканка творожная «Айва-банан» без доб. сахара,220.0,4,186,12.9,4.5,15.8,155.3,https://rtw.vkusvill.ru/goods/zapekanka-tvorozhnaya-ayva-banan-bez-dob-sakhara-29330.html
"Штрудель яблочный, веган",110.0,6,130,2.9,3.6,51.7,250.8,https://rtw.vkusvill.ru/goods/shtrudel-yablochnyy-vegan-51294.html
Запеканка творожная с грушей,250.0,10,206,,,,,https://rtw.vkusvill.ru/goods/zapekanka-tvorozhnaya-s-grushey-39477.html
"Пирог осетинский с курицей, грибами и сыром, 250 г",250.0,8,224,12.1,11.4,26.4,256.6,https://rtw.vkusvill.ru/goods/pirog-osetinskiy-s-kuritsey-gribami-i-syrom-250-g-75365.html
Морепродукты в лимонном соусе с пюре «Васаби»,300.0,0,468,20.4,10.2,9.8,212.6,https://rtw.vkusvill.ru/goods/moreprodukty-v-limonnom-souse-s-pyure-vasabi-82800.html
"Пирожки с капустой и яйцом, 140 г (2 шт)",140.0,0,143,6.3,13.7,31.9,276.1,https://rtw.vkusvill.ru/goods/pirozhki-s-kapustoy-i-yaytsom-140-g-2-sht-44582.html
"Блины с творогом, 210 грамм",210.0,0,176,6.4,15.9,24.7,267.5,https://rtw.vkusvill.ru/goods/bliny-s-tvorogom-210-gramm-65050.html
Омлет с брокколи,250.0,0,215,10.2,7.3,4.2,123.3,https://rtw.vkusvill.ru/goods/omlet-s-brokkoli-54146.html
Котлета Нежная со сливочным маслом и картофельным пюре,230.0,26,210,10.8,10.1,23.2,226.9,https://rtw.vkusvill.ru/goods/kotleta-nezhnaya-so-slivochnym-maslom-i-kartofelnym-pyure-67243.html
Профитроли с паштетом из куриной печени,130.0,6,198,10,16,17.3,253.2,https://rtw.vkusvill.ru/goods/profitroli-s-pashtetom-iz-kurinoy-pecheni-72152.html
Куриные шарики с картофельным пюре и чесночным соусом,330.0,0,382,11.2,13.2,17.7,233,https://rtw.vkusvill.ru/goods/kurinye-shariki-s-kartofelnym-pyure-i-chesnochnym-sousom-85938.html
Суп «Харчо» из баранины,390.0,0,338,6,6.4,8,113.6,https://rtw.vkusvill.ru/goods/sup-kharcho-iz-baraniny-83102.html
Кесадилья с ветчиной из индейки и сыром,230.0,4,298,12.3,22.7,18.3,326.7,https://rtw.vkusvill.ru/goods/kesadilya-s-vetchinoy-iz-indeyki-i-syrom-83595.html
Суп из шпината с филе лосося,270.0,8,198,4.6,6.9,1.6,86.9,https://rtw.vkusvill.ru/goods/sup-iz-shpinata-s-file-lososya-51927.html
Азу по-татарски с картофельным пюре,230.0,2,270,4.3,5.8,11.9,117,https://rtw.vkusvill.ru/goods/azu-po-tatarski-s-kartofelnym-pyure-70127.html
"Борщ «Украинский» с курицей, 3 кг",3000.0,5,1 090,3.8,1.1,5.6,47.5,https://rtw.vkusvill.ru/goods/borshch-ukrainskiy-s-kuritsey-3-kg-81278.html
"Лепешка с картофелем и грибами (постная), 2 шт",180.0,7,170,4.3,2.1,26.9,143.7,https://rtw.vkusvill.ru/goods/lepeshka-s-kartofelem-i-gribami-postnaya-2-sht-79731.html
Ризотто с белыми грибами,280.0,0,421,4.4,8.2,18.2,164.2,https://rtw.vkusvill.ru/goods/rizotto-s-belymi-gribami-75224.html
Ролл с лососем,243.0,2,420,,,,,https://rtw.vkusvill.ru/goods/roll-s-lososem-51823.html
Спагетти Болоньезе Эмилия Романья,260.0,2,348,12,7,35,203,https://rtw.vkusvill.ru/goods/spagetti-boloneze-emiliya-romanya-82556.html
"Пирожок с курицей и шпинатом, кафе рег",50.0,0,60,17,8.5,30,264.5,https://rtw.vkusvill.ru/goods/pirozhok-s-kuritsey-i-shpinatom-kafe-reg-59278.html
"Фузилли с фрикадельками и грибным соусом, пастеризованные_РП",250.0,0,213,8.1,11.7,14.9,197.3,https://rtw.vkusvill.ru/goods/fuzilli-s-frikadelkami-i-gribnym-sousom-pasterizovannye-rp-77903.html
Сырники с малиновой начинкой,120.0,10,155,13.3,9.1,33.9,270.7,https://rtw.vkusvill.ru/goods/syrniki-s-malinovoy-nachinkoy-41142.html
"Салат «Сельдь под шубой», 180 г",180.0,12,168,5.8,13.8,4.8,166.6,https://rtw.vkusvill.ru/goods/salat-seld-pod-shuboy-180-g-25292.html
Салат куриный BBQ,235.0,0,350,13.22,5.49,6.22,121,https://rtw.vkusvill.ru/goods/salat-kurinyy-bbq-66453.html
Картофель запеченный с прованскими травами,250.0,0,198,3.6,3.4,24,141,https://rtw.vkusvill.ru/goods/kartofel-zapechennyy-s-provanskimi-travami-70125.html
Куриное филе запеченное с овощами,210.0,8,296,,,,,https://rtw.vkusvill.ru/goods/kurinoe-file-zapechennoe-s-ovoshchami-22929.html
Круассан с ветчиной и сыром и апельсиновый фреш 500 мл,660.0,0,478,,,,,https://rtw.vkusvill.ru/goods/kruassan-s-vetchinoy-i-syrom-i-apelsinovyy-fresh-500-ml-71030.html
"Салат «Сельдь под шубой», 600 грамм",600.0,0,470,6.4,16.1,7.8,201.7,https://rtw.vkusvill.ru/goods/salat-seld-pod-shuboy-600-gramm-71634.html
"Пирожок с зеленью и яйцом, кафе",50.0,0,60,,,,,https://rtw.vkusvill.ru/goods/pirozhok-s-zelenyu-i-yaytsom-kafe-36945.html
Тефтели в сливочно-томатном соусе с рисом_РП,250.0,0,207,7.5,5.9,22,171.1,https://rtw.vkusvill.ru/goods/tefteli-v-slivochno-tomatnom-souse-s-risom-rp-77230.html
Плов по-узбекски с говядиной,260.0,0,271,7.1,1.8,24.6,146,https://rtw.vkusvill.ru/goods/plov-po-uzbekski-s-govyadinoy-64459.html
Шаурма с курицей и печеным картофелем,230.0,10,242,9,9.9,26.3,230.3,https://rtw.vkusvill.ru/goods/shaurma-s-kuritsey-i-pechenym-kartofelem-63729.html
Комбо-обед (суп + второе),600.0,0,435,34,30,48,596,https://rtw.vkusvill.ru/goods/kombo-obed-sup-vtoroe-84275.html
Пельмени с курицей и укропом,265.0,0,295,11.89,11.67,21.9,244,https://rtw.vkusvill.ru/goods/pelmeni-s-kuritsey-i-ukropom-62059.html
Утка конфи в соусе из печеной сливы,210.0,0,448,29.7,42.1,18.4,571.3,https://rtw.vkusvill.ru/goods/utka-konfi-v-souse-iz-pechenoy-slivy-81588.html
"Чиабатта с курицей, пармезаном и соусом цезарь, кафе",215.0,8,220,8.8,15.7,26,280.5,https://rtw.vkusvill.ru/goods/chiabatta-s-kuritsey-parmezanom-i-sousom-tsezar-kafe-39250.html
Роллы с филе радужной форели и омлетом,205.0,0,448,17,5.8,16.5,186.2,https://rtw.vkusvill.ru/goods/rolly-s-file-raduzhnoy-foreli-i-omletom-76437.html
Сэндвич ролл с курицей Том Ям_РП,170.0,0,216,6.6,12.5,20.8,222.1,https://rtw.vkusvill.ru/goods/sendvich-roll-s-kuritsey-tom-yam-rp-80560.html
Каша рисовая с бананом и персиком,338.0,0,258,2.1,5.8,26.9,167.8,https://rtw.vkusvill.ru/goods/kasha-risovaya-s-bananom-i-persikom-53915.html
Рагу из индейки в томатном соусе с пюре,290.0,4,238,6.6,5,11.8,118.6,https://rtw.vkusvill.ru/goods/ragu-iz-indeyki-v-tomatnom-souse-s-pyure-54223.html
Конвертики с творогом и зеленью,140.0,4,202,12.2,16.3,24.7,294.3,https://rtw.vkusvill.ru/goods/konvertiki-s-tvorogom-i-zelenyu-68839.html
"Омлет белковый с куриным филе, овощами и мягким сыром",160.0,0,270,4.7,1.6,14.2,90,https://rtw.vkusvill.ru/goods/omlet-belkovyy-s-kurinym-file-ovoshchami-i-myagkim-syrom-52515.html
"Птитим с филе из индейки, вешенками и кукурузой в сливочном соусе 250г_РП",250.0,0,221,6.1,8.9,20.2,185,https://rtw.vkusvill.ru/goods/ptitim-s-file-iz-indeyki-veshenkami-i-kukuruzoy-v-slivochnom-souse-250g-rp-74456.html
"Мясо по-французски с печеным картофелем, 450 г",450.0,6,490,10.4,12.4,9,189.2,https://rtw.vkusvill.ru/goods/myaso-po-frantsuzski-s-pechenym-kartofelem-450-g-61045.html
Котлетки рыбные с запеченными овощами,180.0,8,250,6.4,5,6,95,https://rtw.vkusvill.ru/goods/kotletki-rybnye-s-zapechennymi-ovoshchami-30084.html
Круассан с лососем и сливочным сыром,210.0,0,373,8.07,13.31,20.64,233,https://rtw.vkusvill.ru/goods/kruassan-s-lososem-i-slivochnym-syrom-66447.html
"Спагетти «Болоньезе», 260 грамм",260.0,0,208,10.4,7.2,39.6,264.8,https://rtw.vkusvill.ru/goods/spagetti-boloneze-260-gramm-62413.html
Киш с горбушей и брокколи_РП,80.0,0,160,,,,,https://rtw.vkusvill.ru/goods/kish-s-gorbushey-i-brokkoli-rp-50041.html
Вареники с вишней и сметаной,260.0,0,198,4.2,5.2,34.5,197,https://rtw.vkusvill.ru/goods/vareniki-s-vishney-i-smetanoy-81135.html
Блины с ветчиной (из свинины) и с сыром,210.0,8,188,11,12.2,24.5,251.8,https://rtw.vkusvill.ru/goods/bliny-s-vetchinoy-iz-svininy-i-s-syrom-20835.html
"Суп «Гороховый» с копчёностями, 1кг",1000.0,6,490,3.4,6.5,4.4,89.7,https://rtw.vkusvill.ru/goods/sup-gorokhovyy-s-kopchyenostyami-1kg-72947.html
Салат Винегрет без картофеля,150.0,28,116,,,,,https://rtw.vkusvill.ru/goods/salat-vinegret-bez-kartofelya-25360.html
Бефстроганов из говядины с картофельным пюре,230.0,8,292,11.7,10,11.9,184.4,https://rtw.vkusvill.ru/goods/befstroganov-iz-govyadiny-s-kartofelnym-pyure-24513.html
Сэндвич ролл с бужениной запеченной,175.0,14,208,,,,,https://rtw.vkusvill.ru/goods/sendvich-roll-s-buzheninoy-zapechennoy-21419.html
Каша пшенная с тыквой и яблоком,235.0,0,200,2.5,2.9,14.1,92,https://rtw.vkusvill.ru/goods/kasha-pshennaya-s-tykvoy-i-yablokom-72672.html
"Драники картофельные, 200 г",200.0,8,188,4.3,10.8,18.7,189.2,https://rtw.vkusvill.ru/goods/draniki-kartofelnye-200-g-31881.html
Гратен картофельный с куриной котлетой и соусом,320.0,0,380,9.9,16.3,9.5,224,https://rtw.vkusvill.ru/goods/graten-kartofelnyy-s-kurinoy-kotletoy-i-sousom-82202.html
"Оладьи куриные, 320 г",320.0,8,310,15.5,12.4,5.3,194.8,https://rtw.vkusvill.ru/goods/oladi-kurinye-320-g-68438.html
Мама бургер с голубым сыром и вишневым вареньем,295.0,0,435,13.01,22.32,16.11,316,https://rtw.vkusvill.ru/goods/mama-burger-s-golubym-syrom-i-vishnevym-varenem-43138.html
Вок рамен с курицей в апельсиново-имбирном соусе,270.0,8,320,,,,,https://rtw.vkusvill.ru/goods/vok-ramen-s-kuritsey-v-apelsinovo-imbirnom-souse-37782.html
Похлебка грибная,270.0,6,168,,,,,https://rtw.vkusvill.ru/goods/pokhlebka-gribnaya-24796.html
Запеканка творожная с черникой,250.0,9,206,10.4,3.5,19.2,149.9,https://rtw.vkusvill.ru/goods/zapekanka-tvorozhnaya-s-chernikoy-39480.html
